Noun           :   0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63

yellow         :   0    0    2    0    0    1    5    5    0    0    4   12    0    2    6    2    2    3    2    6    0    0    0    0    0    1    1    0    0    1    2    0    0    3    8   39    2    4    3    0    3    2    0    0    0    0    0    0    0    1    0    2    0    1   27    1    6    1    0    1    5    0    1    2
protest        :   0    0    0    0    0    0    0    0    0    0    0    0    6    0    3    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
sleep          :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    2    0    0    0    0    1    0    0    3    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    3    0    3   14
asian          :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
railing        :   1    0   16    1    0    0    0    0    0    0    0    1    1    1    5    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    2    3    1    1    1    0    0    0    0    1    0    0    0    0    1    0    0    0    0    0    4    0    0    1    0    1    0    1    2    0
trolley        :   0    0    9    0    0    0    0    0    0    0    0    5    2    2    3    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1    5    4    0    1    0    1    0    1    0    0    1    0    0    0    0    0    0    0    0    0    4    0    0    0    1    0    0    0    0    1
feeding        :   0    0    0    0    3    0    0    1    1    0    0    3    0    2    1    0    0    1    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    6    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1    0    0    1    0    0    0
electricity    :   0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7    4    0    0    0    5    1    0    0    5    0    0    0    0    0    0    1    1    0    1    0    2    0    0    4    0    0    3    4
bike           :  10    0  211   10    7   29   31    3    1    1    0   74   57   42   89   14    5   66   35   17    3    0    3    9    2    3   11    4    0    4   13   12   10   22   73  209   49   53    7    9   16   47    2    6   16    1    2    0   10    8   34    9    8   27   90   17   56    4   37    2   11    1    2   79
sinking        :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   12    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
rescue         :   0    0    0    0    0    0    0    0    0    0    0    0    5    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    1
blanket        :   2    0   86    0    1    3    0    1    0    0    1   13    0    7   16    5    0    2    0    4    0    0    0    0    0    4    0    0    0    0    1    2    1    0    7   19    3    3    2    0    0    6    0    0    0    1    0    0    1    6    2    0    1    0   33    1    4    0    2    1    4    0    0    8
rise           :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    3    1    2    0    0    0    0    1    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    1    0    0    0    0    0    3
costume        :   0    0    3    0    0    0    0    0    0    0    0    1    6    4    0    1    0    0    4    0    0    0    0    0    0    0    4    0    0    0    1    2    0    0    1    3    2    0    1    0    0    1    0    0    2    0    0    1    1    0    0    1    1    0    8    1    7    2    0    0    0    0    0    1
vase           :   7    0  187   17    0   10    0   84    1    0    2   76   28   57   38   31    4   20    0    4    0    0    5    6    1    5    0    4    0    0    4    1    7    0   88  107   13   48   24    1   39   12    2   20    7    2    0    0    0   14    0    2    3    0   61    8   10    1    8    6    4    1    2   14
jack           :   0    0    1    0    0    0    0    0    0    0    0    0    0    0    3    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    1    0    0    0    2    0    0    1
fur            :   1    0   39    0    0    0    0    0    0    0    0    7    0    3    3    4    0    0    1    1    0    0    0    4    0    0    0    0    0    1    0    0    0    0    2    7    3    0    1    1    0    5    1    0    1    0    0    0    0    7    0    0    0    0   18    1    1    0    1    4    1    0    0    3
fireplace      :   0    0    8    0    0    1    0    3    0    0    0   11    3    1   83    1    0    4    0    1    0    0    0    0    0    2    1    0    0    0    0    0    4    0   10   49    0   29    0    1   10    8    1    3    3    0    0    0    0    1    0    0    1    0   13    0    2    0    1    0    2    0    0    3
school         :   0    0    1    0    0    0    0    0    0    0    7    2   49    2   10    3    0    5    0    0    0    0    0    1    0    0    0    5    0    0    0    1    0    0    5   14   29    2    3    2    2    3   10    1    6    0    4    0    2    0    0    1    0    0   18    2    5    4    2    3    1    1    4   12
baking         :   0    0    0    0    1    0    0    1    1    1    0    5    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    5    1    1    2    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    1
parrot         :   0    0    2    0    0    0    0    0    0    0    0    3    3    0    4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    5    1    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    1
wooden         :   0    0    0    0    0    0    0    0    0    0    0    4    0    0    5    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1   28    2    1    4    0    1    1    0    0    0    0    0    0    0    0    0    1    0    0    3    0    0    0    0    0    1    0    1    3
venue          :   0    0    0    0    0    0    0    0    0    0    1    1    3    2    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    3    4    0    0    0    0    0    0    0    1
heading        :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   10    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    9    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5    4    0    0    1    0    0    0    0    2
enjoy          :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7    0    0    2    0    0    0    0    0    0    0    0    0    3    0    0    0    0    1    0    0    0    8
force          :   0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3    0    0    0    0    0    0    0    0    3    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6    0    1    0    1    1    0    0    2    2
quilt          :   0    0    0    0    0    0    0    0    0    0    0    1    2    1    5    2    1    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    1    0    0    0    0    0    0    0    5    0    0    0    0    0    0    0    0    1
maneuver       :   0    0    0    0    0    0    0    0    0    0    1    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    9    0    0    0    0    0    0    0    0    0
hanging        :   0    0    2    0    0    0    0    1    0    0    0   14    0    1    9    2    5    7    0    0    0    0    1    0    0    0    0    0    0    0    1    0    0    0    3    3    1    4    1    0    2    0    0    1    0    0    0    0    0    0    0    0    0    0    4    3    1    0    1    1    0    0    0    3
bacon          :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    1    0    5    1    3    1    0    0   17    1    0    0    0    0    0    0    0    0    0    1    1    0    0    0    3    0    0    1    0    0    1    5
horn           :   0    0    2    0    0    0    0    0    0    0    0    1    0    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1
chef           :   0    0    1    0    0    0    0    0    0    0    1    6    4    0    3    3    0    2    6    1    0    0    0    0    1    0    1    0    0    1    0    1    0    0    0   13    8    0    0    0    0    1    0    0    1    0    1    0    3    0    1    0    0    0    2    3    2    0    1    0    0    1    1    7
dish           :   0    0   31    1    0    6    0   15    0    0   12   51   92   35   14   34    7    3    1    1   14    0   10    1    0    1    1   13    0    0    0    0    3    0   24   20   14    7    2    2   58    6    0   24   12    0    0    0    1    3    2    3    2    0  110    5    6    2    4    2    1    3    3   19
rusty          :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8    0    0    4    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
